SiteName,SiteID,PrimaryUse,Borough,AreaHa,Easting,Northing,Qualifier,Access,DataSource,DataVersion,ReleaseDate,Copyright
North Hill Recreation Ground,OS_Hv_0489,Recreation ground,Havering,2.3207,553566,192941,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Newbury Close Green,OS_Hv_0335,Amenity green space,Havering,0.2132,553532,191968,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Carters Brook North Ex-allotments Land,OS_Hv_0638,Amenity green space,Havering,0.3587,554004,192595,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Town Square at Fornham Road,OS_Hv_0503,Amenity green space,Havering,0.8146,553711,192146,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Harold Court Woods,OS_Hv_0210,Public woodland,Havering,26.7046,556015,190982,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Stratton Wood,OS_Hv_0103,Other recreational,Havering,0.9031,555433,191987,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Duck Wood,OS_Hv_0115,Nature reserve,Havering,10.035,555556,192384,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Ingrebourne River,OS_Hv_0733,River,Havering,0.9036,555202,186462,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St Laurence's Churchyard,OS_Hv_0467,Cemetery/churchyard,Havering,0.6451,555952,186493,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Bevan Way Greenspace,OS_Hv_0624,Amenity green space,Havering,1.3062,554695,185950,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Shoulder of Mutton Wood,OS_Hv_0432,Public woodland,Havering,2.0664,555131,191974,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Halesworth Rd Green E,OS_Hv_0203,Amenity green space,Havering,0.4037,554349,191564,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Gooshays Gardens Green,OS_Hv_0185,Amenity green space,Havering,0.8999,554253,191914,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Leyburn Rd Circle,OS_Hv_0278,Amenity green space,Havering,0.4184,554118,191511,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Pains Meadow (including Guys Field),OS_Hv_0349,Park,Havering,1.7314,555066,191304,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Tiverton Grove Green,OS_Hv_0498,Play space,Havering,0.2007,555131,192255,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Halesworth Rd green W,OS_Hv_0204,Amenity green space,Havering,0.1709,554279,191540,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Dagnam Park,OS_Hv_0102,Park,Havering,126.5253,554900,193340,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Weald Brook,OS_Hv_0552,River,Havering,3.9313,555674,193294,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Langtons Gardens,OS_Hv_0272,Park,Havering,2.3804,553738,187521,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Holy Cross Parish Church,OS_Hv_0243,Cemetery/churchyard,Havering,0.6997,552289,187467,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Gidea Park Sports Ground,OS_Hv_0176,Playing fields,Havering,7.1237,553098,190447,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Gidea Park Methodist Church,OS_Hv_0178,Cemetery/churchyard,Havering,0.1298,553121,188944,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Chudleigh Road Open Space,OS_Hv_0644,Amenity green space,Havering,2.8165,554101,192609,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Byron Road Green,OS_Hv_0052,Amenity green space,Havering,0.2814,553140,190823,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Dorking Road Playgroun,OS_Hv_0586,Play space,Havering,0.0868,553903,192560,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Ingrebourne Marshes,OS_Hv_0252,Nature reserve,Havering,55.8571,553287,183665,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Harveys Lane Footpath,OS_BD_0086,Walking/cycling route,Barking and Dagenham,0.7478,551158,186930,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Foxland lane,OS_BD_0067,Walking/cycling route,Barking and Dagenham,0.8657,550866,185465,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Chase Nature Reserve,OS_MB_0038,Nature reserve,Barking and Dagenham; Havering,49.1787,551551,185977,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Grenfell Park,OS_MB_0052,Park,Barking and Dagenham; Havering,6.2482,551499,187110,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Oldchurch Park,OS_Hv_0345,Park,Havering,9.9258,551184,187749,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Lodge Farm Park,OS_Hv_0285,Park,Havering,4.9513,551966,189214,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Highfield Towers Play Site,OS_Hv_0587,Play space,Havering,0.4048,550744,192170,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Beam Valley Country Park,OS_BD_0256,Nature reserve,Barking and Dagenham,32.9752,551006,184958,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
The Leys,OS_BD_0235,Playing fields,Barking and Dagenham,7.6498,550027,184020,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Havering Village Green,OS_Hv_0221,Amenity green space,Havering,0.6273,551243,193080,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St. John the Evangelist churchyard,OS_Hv_0466,Cemetery/churchyard,Havering,0.4292,551181,193070,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Lawns Park,OS_Hv_0274,Park,Havering,7.052,550355,190867,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Collier Row Green Link,OS_Hv_0652,Walking/cycling route,Havering,3.861,549610,191736,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Catholic Church of Corpus Christi,OS_Hv_0286,Cemetery/churchyard,Havering,0.4147,549693,190854,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Hood Walk Playsite,OS_Hv_0079,Play space,Havering,0.1397,549780,190686,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Forest Lodge Activities Centre / Colliers Row Jnrs FC,OS_Hv_0687,Recreation ground,Havering,9.4336,549110,191701,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
River Rom (Havering),OS_Hv_0398,River,Havering,2.0535,549395,190423,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Victory Way Road Verge,OS_Hv_0549,Amenity green space,Havering,0.2163,549583,190417,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
King George's Playing Field (Havering),OS_Hv_0264,Park,Havering,9.5076,550142,189574,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
White Hart Lane Educational Nature Reserve,OS_Hv_0861,Nature reserve,Havering,0.6618,549259,190446,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Kingston Hill Avenue Recreation Grounds,OS_BD_0101,Other recreational,Barking and Dagenham,0.8211,548382,189839,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Millennium Green (Dagenham Village),OS_BD_0131,Amenity green space,Barking and Dagenham,0.1155,549981,184553,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Ford Sports and Social Club Playing Fields,OS_Hv_0156,Playing fields,Havering,10.2717,549822,187297,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Stansgate Road Open Space,OS_BD_0192,Amenity green space,Barking and Dagenham,0.1784,549263,186511,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Basedale Road Housing Green,OS_BD_0020,Amenity green space,Barking and Dagenham,0.2674,546635,184455,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Wykeham Green,OS_BD_0234,Amenity green space,Barking and Dagenham,0.6428,547366,184884,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Goodmayes Park,OS_Re_0026,Park,Redbridge,18.2114,546809,186622,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Goresbrook Leisure Complex Fields,OS_BD_0078,Playing fields,Barking and Dagenham,8.9714,547857,183738,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Grove Road Gardens (Redbridge),OS_Re_0114,Formal garden,Redbridge,0.1224,547145,188514,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
The Green (Redbirdge),OS_Re_0101,Amenity green space,Redbridge,0.5393,546813,189058,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Hainault Forest Country Park Outside Greater London,OS_Outside_0012,Country park,Outside Greater London,116.4168,547789,193843,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Hainault Forest Country Park,OS_Re_0030,Country park,Redbridge,93.2063,547537,193053,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Padnall Lake,OS_BD_0238,Amenity green space,Barking and Dagenham,3.6592,547939,189132,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Eastern Avenue Park,OS_Re_0013,Park,Redbridge,0.807,547457,189172,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Percival Gardens,OS_Re_0054,Amenity green space,Redbridge,0.747,547520,188408,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Goodmayes Park Extension,OS_Re_0027,Park,Redbridge,11.319,546469,186050,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Westwood Road  Recreation Ground,OS_Re_0078,Recreation ground,Redbridge,3.3939,545946,187647,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Mayesbrook,OS_BD_0127,River,Barking and Dagenham,4.9776,545884,184039,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Seven Kings Park,OS_Re_0068,Park,Redbridge,19.5407,545834,188247,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St. Peters Churchyard,OS_Re_0244,Cemetery/churchyard,Redbridge,0.6226,545624,189255,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Hainault Recreation Ground,OS_Re_0034,Recreation ground,Redbridge,18.755,545900,191349,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Brocket Way Open Space,OS_Re_0125,Amenity green space,Redbridge,0.3711,546013,192586,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
